com_pos_x,com_pos_y,com_pos_z,com_quat_w,com_quat_x,com_quat_y,com_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15
0.00599363,0.0699443,0.433433,0.0333605,-0.256668,0.0221591,0.965669,-0.213057,0.92992,-0.603202,-5.74198e-06,-2.06136,0.261787,-0.355945,-0.601858,2.29126,-0.141277,-1.17305,1.83584,0.000168364,8.12991e-06,-2.56393e-06,-0.000193188
0.0059595,0.0696679,0.433438,0.0336435,-0.256735,0.0224753,0.965635,-0.213057,0.92992,-0.603202,-5.68401e-06,-2.06136,0.261788,-0.354573,-0.601996,2.2908,-0.138317,-1.17469,1.84091,0.000168364,8.59647e-06,-3.06871e-06,-0.000193345
0.00592583,0.0693885,0.433443,0.0339344,-0.256803,0.0227967,0.965599,-0.213057,0.92992,-0.603202,-5.63272e-06,-2.06136,0.261789,-0.353197,-0.602132,2.29033,-0.135335,-1.17632,1.84598,0.000168364,9.06191e-06,-3.56732e-06,-0.000193504
0.00589252,0.0691078,0.433447,0.0342279,-0.256872,0.0231202,0.965562,-0.213057,0.92992,-0.603202,-5.58745e-06,-2.06136,0.261789,-0.351819,-0.602268,2.28986,-0.132334,-1.17794,1.85105,0.000168364,9.52634e-06,-4.06034e-06,-0.000193667
0.00585945,0.0688268,0.43345,0.034521,-0.256942,0.0234436,0.965526,-0.213057,0.92992,-0.603202,-5.54803e-06,-2.06136,0.26179,-0.35044,-0.602403,2.28939,-0.129316,-1.17954,1.85612,0.000168364,9.99004e-06,-4.54922e-06,-0.000193832
0.00582659,0.0685459,0.433452,0.0348129,-0.257012,0.0237666,0.965489,-0.213057,0.92992,-0.603202,-5.51428e-06,-2.06136,0.26179,-0.349059,-0.602536,2.28892,-0.126282,-1.18113,1.86118,0.000168364,1.04533e-05,-5.03549e-06,-0.000193998
0.005794,0.0682646,0.433453,0.0351054,-0.257082,0.0240899,0.965451,-0.213057,0.92992,-0.603202,-5.48581e-06,-2.06136,0.261791,-0.347679,-0.602668,2.28845,-0.123234,-1.18271,1.86622,0.000168364,1.09163e-05,-5.52015e-06,-0.000194165
0.00576175,0.0679825,0.433453,0.0354009,-0.257154,0.0244151,0.965413,-0.213057,0.92992,-0.603202,-5.46195e-06,-2.06136,0.261791,-0.3463,-0.602799,2.28798,-0.120174,-1.18427,1.87126,0.000168364,1.13792e-05,-6.00339e-06,-0.000194333
0.00572993,0.0676989,0.433452,0.0357015,-0.257227,0.0247432,0.965374,-0.213057,0.92992,-0.603202,-5.44183e-06,-2.06136,0.261791,-0.344922,-0.602928,2.2875,-0.117103,-1.18581,1.87627,0.000168364,1.18417e-05,-6.48474e-06,-0.000194501
0.00569859,0.0674137,0.433452,0.0360085,-0.257301,0.0250748,0.965334,-0.213057,0.92992,-0.603202,-5.42456e-06,-2.06136,0.261791,-0.343547,-0.603056,2.28703,-0.114025,-1.18734,1.88126,0.000168364,1.23039e-05,-6.96336e-06,-0.000194671
0.00566774,0.067127,0.433451,0.0363215,-0.257378,0.0254097,0.965294,-0.213057,0.92992,-0.603202,-5.40941e-06,-2.06136,0.261791,-0.342176,-0.603183,2.28656,-0.11094,-1.18885,1.88623,0.000168364,1.27654e-05,-7.43838e-06,-0.000194843
0.00563703,0.0668393,0.43345,0.0366394,-0.257456,0.0257471,0.965252,-0.213057,0.92992,-0.603202,-5.39646e-06,-2.06136,0.261792,-0.340809,-0.603308,2.28608,-0.10785,-1.19034,1.89118,0.000168364,1.32265e-05,-7.90875e-06,-0.000195016
0.00560604,0.066551,0.433449,0.0369612,-0.257536,0.0260863,0.965209,-0.213057,0.92992,-0.603202,-5.3847e-06,-2.06136,0.261792,-0.339447,-0.603432,2.28561,-0.104759,-1.1918,1.89609,0.000168364,1.36866e-05,-8.3745e-06,-0.000195191
0.00557517,0.0662623,0.433448,0.0372865,-0.257618,0.0264271,0.965165,-0.213057,0.92992,-0.603202,-5.37373e-06,-2.06136,0.261792,-0.338091,-0.603554,2.28514,-0.101666,-1.19325,1.90097,0.000168364,1.41459e-05,-8.83476e-06,-0.000195369
0.00554462,0.0659736,0.433446,0.0376148,-0.257701,0.026769,0.965121,-0.213057,0.92992,-0.603202,-5.36354e-06,-2.06136,0.261792,-0.336742,-0.603674,2.28467,-0.098576,-1.19468,1.90582,0.000168364,1.46044e-05,-9.28677e-06,-0.000195548
0.00551447,0.0656852,0.433444,0.0379455,-0.257785,0.0271116,0.965076,-0.213057,0.92992,-0.603202,-5.35411e-06,-2.06136,0.261792,-0.335402,-0.603792,2.2842,-0.0954894,-1.19608,1.91062,0.000168364,1.50624e-05,-9.72105e-06,-0.000195728
0.00548477,0.0653972,0.433441,0.0382783,-0.25787,0.0274546,0.965031,-0.213057,0.92992,-0.603202,-5.3454e-06,-2.06136,0.261792,-0.334069,-0.603909,2.28373,-0.0924086,-1.19746,1.91539,0.000168364,1.55197e-05,-1.00777e-05,-0.000195911
0.00545553,0.0651099,0.433437,0.0386129,-0.257956,0.0277977,0.964985,-0.213057,0.92992,-0.603202,-5.33736e-06,-2.06136,0.261792,-0.332746,-0.604024,2.28327,-0.0893358,-1.19881,1.92011,0.000168364,1.59763e-05,-1.08192e-05,-0.000196095
0.00542677,0.0648233,0.433433,0.0389493,-0.258042,0.0281408,0.964938,-0.213057,0.92992,-0.603202,-5.32992e-06,-2.06136,0.261792,-0.331434,-0.604136,2.28281,-0.0862731,-1.20015,1.92479,0.000168364,1.64324e-05,-1.12014e-05,-0.000196281
0.0053985,0.0645377,0.433428,0.0392875,-0.25813,0.0284839,0.964891,-0.213057,0.92992,-0.603202,-5.32299e-06,-2.06136,0.261792,-0.330132,-0.604247,2.28235,-0.0832227,-1.20145,1.92941,0.000168364,1.68877e-05,-1.16286e-05,-0.000196468
0.00537103,0.0642535,0.433424,0.0396255,-0.258217,0.0288258,0.964843,-0.213057,0.92992,-0.603202,-5.31373e-06,-2.06136,0.261792,-0.328842,-0.604356,2.2819,-0.0801868,-1.20273,1.93399,0.000168364,1.73419e-05,-1.20605e-05,-0.00019666
0.00535327,0.0639876,0.433436,0.039905,-0.258282,0.0291317,0.964805,-0.213057,0.92992,-0.603202,-5.28858e-06,-2.06136,0.261792,-0.327565,-0.604463,2.28145,-0.0771676,-1.20399,1.93851,0.000168364,1.7789e-05,-1.24744e-05,-0.000196866
0.00533519,0.0637437,0.433439,0.040118,-0.258331,0.0293967,0.964775,-0.213057,0.92992,-0.603202,-5.27491e-06,-2.06136,0.261792,-0.326302,-0.604568,2.281,-0.0741672,-1.20521,1.94297,0.000168364,1.82368e-05,-1.28968e-05,-0.000197058
0.00531227,0.0635144,0.433427,0.0402884,-0.258377,0.0296353,0.964749,-0.213057,0.92992,-0.603202,-5.27109e-06,-2.06136,0.261792,-0.325052,-0.604671,2.28056,-0.0711877,-1.20641,1.94738,0.000168364,1.86854e-05,-1.33385e-05,-0.000197241
0.00528859,0.0632905,0.433412,0.040448,-0.258421,0.0298659,0.964723,-0.213057,0.92992,-0.603202,-5.27624e-06,-2.06136,0.261792,-0.323818,-0.604772,2.28012,-0.0682315,-1.20759,1.95172,0.000168364,1.9127e-05,-1.38025e-05,-0.000197413
0.00526682,0.0630635,0.433401,0.0406252,-0.258467,0.0301051,0.964696,-0.213057,0.92992,-0.603202,-5.28609e-06,-2.06136,0.261792,-0.3226,-0.60487,2.27968,-0.0653008,-1.20873,1.956,0.000168364,1.978e-05,-1.4278e-05,-0.00019758
0.00525074,0.0628319,0.433403,0.0408239,-0.258515,0.0303555,0.964667,-0.213057,0.92992,-0.603202,-5.28816e-06,-2.06136,0.261792,-0.321398,-0.604967,2.27925,-0.0623978,-1.20985,1.96022,0.000168364,2.01082e-05,-1.47346e-05,-0.000197763
0.005241,0.062605,0.433417,0.0410141,-0.258554,0.0305987,0.964641,-0.213057,0.92992,-0.603202,-5.2821e-06,-2.06136,0.261792,-0.320214,-0.605061,2.27883,-0.0595248,-1.21094,1.96436,0.000168364,2.05467e-05,-1.51705e-05,-0.000197955
0.00523124,0.0623887,0.433427,0.0411766,-0.258587,0.0308236,0.964618,-0.213057,0.92992,-0.603202,-5.27384e-06,-2.06136,0.261792,-0.319047,-0.605153,2.27841,-0.056684,-1.21201,1.96844,0.000168364,2.09929e-05,-1.5594e-05,-0.000198149
0.00521921,0.0621849,0.43343,0.0413062,-0.258616,0.0310272,0.964598,-0.213057,0.92992,-0.603202,-5.26679e-06,-2.06136,0.261792,-0.317899,-0.605243,2.278,-0.0538776,-1.21304,1.97244,0.000168364,2.14417e-05,-1.60165e-05,-0.000198345
0.00520615,0.061991,0.433428,0.0414111,-0.25864,0.0312142,0.964581,-0.213057,0.92992,-0.603202,-5.26359e-06,-2.06136,0.261792,-0.316771,-0.60533,2.2776,-0.0511077,-1.21404,1.97637,0.000168364,2.18928e-05,-1.64453e-05,-0.000198538
0.00519331,0.0618027,0.433425,0.0415074,-0.258662,0.0313939,0.964565,-0.213057,0.92992,-0.603202,-5.26485e-06,-2.06136,0.261792,-0.315662,-0.605415,2.2772,-0.0483767,-1.21502,1.98022,0.000168364,2.23461e-05,-1.6882e-05,-0.000198727
