time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
1.219999999999999973e+00,-1.726150512695312500e-03,5.686187744140625000e-02,-9.191691875457763672e-03,1.026711761951446533e-01,2.349161915481090546e-02,7.092564553022384644e-02,1.375004798173904419e-01,1.193579286336898804e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.736379089355468750e+02,0.000000000000000000e+00
1.239999999999999991e+00,1.041412353515625000e-03,6.041908264160156250e-02,-1.172012090682983398e-02,1.101925224065780640e-01,2.433247864246368408e-02,7.320973277091979980e-02,1.511808633804321289e-01,1.196373179554939270e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.636437377929687500e+02,0.000000000000000000e+00
1.260000000000000009e+00,-3.890991210937500000e-04,6.102180480957031250e-02,-1.597535610198974609e-02,1.122429668903350830e-01,2.330709807574748993e-02,7.353340089321136475e-02,1.475285738706588745e-01,1.204871311783790588e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.772139282226562500e+02,0.000000000000000000e+00
1.280000000000000027e+00,-1.279830932617187500e-03,6.316947937011718750e-02,-1.942008733749389648e-02,1.102596074342727661e-01,2.331919968128204346e-02,7.323386520147323608e-02,1.473502218723297119e-01,1.207667142152786255e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.631400756835937500e+02,0.000000000000000000e+00
1.300000000000000044e+00,-4.055023193359375000e-03,6.629180908203125000e-02,-2.065277099609375000e-02,1.076743155717849731e-01,2.377745509147644043e-02,7.321181148290634155e-02,1.475866287946701050e-01,1.207182407379150391e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.647600402832031250e+02,0.000000000000000000e+00
1.320000000000000062e+00,-9.153366088867187500e-03,7.097816467285156250e-02,-2.189344167709350586e-02,1.140351295471191406e-01,2.767222747206687927e-02,7.374679297208786011e-02,1.483004540205001831e-01,1.381305754184722900e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.825057373046875000e+02,0.000000000000000000e+00
1.340000000000000080e+00,-1.525878906250000000e-02,7.614135742187500000e-02,-2.282184362411499023e-02,1.242028474807739258e-01,4.134170711040496826e-02,7.473833858966827393e-02,1.479525119066238403e-01,1.652939915657043457e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.732019958496093750e+02,0.000000000000000000e+00
1.360000000000000098e+00,-2.044486999511718750e-02,8.012771606445312500e-02,-2.221536636352539062e-02,1.284614056348800659e-01,5.447773262858390808e-02,7.593657076358795166e-02,1.475385129451751709e-01,1.784161329269409180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.631715698242187500e+02,0.000000000000000000e+00
1.380000000000000115e+00,-2.348136901855468750e-02,8.218955993652343750e-02,-2.068108320236206055e-02,1.310102641582489014e-01,6.448562443256378174e-02,7.738289982080459595e-02,1.473895013332366943e-01,1.849009245634078979e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.603005065917968750e+02,0.000000000000000000e+00
1.400000000000000133e+00,-2.480316162109375000e-02,8.254814147949218750e-02,-1.827538013458251953e-02,1.342075020074844360e-01,7.255271077156066895e-02,7.925061136484146118e-02,1.474337428808212280e-01,1.893486827611923218e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.606321411132812500e+02,0.000000000000000000e+00
